# wavelength Total_Reflection Total_Transmission Absorption 
4.56 0.9727987051 2.9617753e-08 0.02720126528 
4.565 0.9726682901 2.946850855e-08 0.02733168039 
4.57 0.9725865126 2.932319501e-08 0.02741345811 
4.575 0.9724696875 2.918016426e-08 0.02753028336 
4.58 0.9724075794 2.904202234e-08 0.02759239154 
4.585 0.9722719193 2.890653938e-08 0.02772805184 
4.59 0.9722588062 2.877577657e-08 0.027741165 
4.595 0.972153008 2.865852164e-08 0.02784696336 
4.6 0.9719866514 2.855252243e-08 0.02801332003 
4.605 0.9718858004 2.845002714e-08 0.02811417119 
4.61 0.9718230367 2.835024465e-08 0.02817693498 
4.615 0.9716982245 2.825359119e-08 0.0283017472 
4.62 0.9715642929 2.81593337e-08 0.02843567893 
4.625 0.9714694023 2.806800725e-08 0.02853056962 
4.63 0.9713263512 2.797852061e-08 0.02867362086 
4.635 0.9712199569 2.789305409e-08 0.02878001523 
4.64 0.9710637331 2.780801336e-08 0.02893623909 
4.645 0.9709808826 2.772848029e-08 0.02901908963 
4.65 0.9708397388 2.764807608e-08 0.02916023351 
4.655 0.970685482 2.757212711e-08 0.0293144904 
4.66 0.9705623984 2.750015179e-08 0.02943757407 
4.665 0.9704384804 2.74299575e-08 0.02956149219 
4.67 0.9702845812 2.736146396e-08 0.02971539145 
4.675 0.9701341391 2.729638374e-08 0.02986583364 
4.68 0.9699893594 2.723389256e-08 0.03001061339 
4.685 0.9698467255 2.717405878e-08 0.03015324736 
4.69 0.969771266 2.711821148e-08 0.0302287069 
4.695 0.9695012569 2.705991892e-08 0.030498716 
4.7 0.9693877697 2.700883012e-08 0.03061220329 
4.705 0.9692124128 2.695956375e-08 0.03078756021 
4.71 0.9690761566 2.691263676e-08 0.03092381647 
4.715 0.9688870907 2.686799686e-08 0.03111288245 
4.72 0.9687238932 2.682586603e-08 0.03127608001 
4.725 0.9685155153 2.678759198e-08 0.03148445788 
4.73 0.9683828354 2.675216249e-08 0.03161713786 
4.735 0.968173027 2.67190885e-08 0.03182694624 
4.74 0.9679913521 2.668779658e-08 0.03200862123 
4.745 0.9678351879 2.666079291e-08 0.03216478543 
4.75 0.967659235 2.663614743e-08 0.03234073836 
